no,name,vin
13.0,FIAT,3C3CFFCR7FT570666
14.0,FIAT,3C3CFFFH4FT508337
15.0,FIAT,3C3CFFAR7FT733240
16.0,FIAT,ZFBCFACHXFZ033162
17.0,FIAT,3C3CFFER3DT718502
18.0,FIAT,3C3CFFFH7FT545446
19.0,FIAT,3C3CFFBR6GT177129
20.0,FIAT,3C3CFFKR1GT191035
1.0,FORD,1FTEW1E87FFA16758
2.0,FORD,1FTEW1EG1FFB96746
3.0,FORD,1FTEW1EG7FKD42168
4.0,FORD,1FTEW1EF7FFC18417
5.0,FORD,1FTEW1CG0FKD24730
6.0,FORD,1FTER4FH1KLA46650
7.0,FORD,1FT7W2BT8FEA91627
8.0,FORD,1FTEW1E82FFB40260
9.0,FORD,1FA6P8CF1F5382027
10.0,FORD,1FTEW1EF2GKE06075
11.0,FORD,1FT7W2B68FED14971
12.0,FORD,2FMPK4J83JBB66982
13.0,FORD,1FTFW1E53MKD27974
14.0,FORD,1FTEW1CP0LKD49364
15.0,FORD,1FTEW1EG9GFD54140
16.0,FORD,1FTEW1EG9HFA66586
17.0,FORD,1FTFW1E84MKD21482
18.0,FORD,1FTEW1EFXGFD34888
19.0,FORD,1FTEW1EP5GKD49623
20.0,FORD,1FTFW1E42LFA74418
1.0,Nissan,1N4AL3AP2FN307129
2.0,Nissan,1N4AL3AP2FC260308
3.0,Nissan,1N4AL3AP1FC271445
4.0,Nissan,1N4AL3AP9FN863390
5.0,Nissan,1N4AL3AP5FN356907
6.0,Nissan,1N4BL3AP3FC173392
7.0,Nissan,1N4AL3AP3HC207216
8.0,Nissan,1N4AL3AP4FC190522
9.0,Nissan,1N4BL4DV5NN328236
10.0,Nissan,1N4AL3AP1FC430867
11.0,Nissan,1N6AA1ED3NN100166
12.0,Nissan,5N1AT2MT4FC764609
13.0,Nissan,JN8AS5MV8FW261694
14.0,Nissan,5N1AT2MV2FC819558
15.0,Nissan,JN8AS5MV5FW752465
16.0,Nissan,JN8AS5MT2FW165557
17.0,Nissan,5N1AT2MT2FC888877
18.0,Nissan,KNMAT2MT7FP522653
19.0,Nissan,JN1BJ1BV3MW315854
20.0,Nissan,KNMAT2MV7FP556450
1.0,Lincoln,3LN6L5KU8JR627931
2.0,Lincoln,3LN6L2G90FR603455
3.0,Lincoln,3LN6L2G9XFR606489
4.0,Lincoln,3LN6L2G92FR617017
5.0,Lincoln,1LNHL9EK4FG604977
6.0,Lincoln,3LN6L2JK9FR614840
7.0,Lincoln,3LN6L2G95FR609476
8.0,Lincoln,3LN6L2GK6FR613099
9.0,Lincoln,3LN6L2G98FR617152
10.0,Lincoln,3LN6L2J90FR616604
11.0,Lincoln,3LN6L5E93JR602491
12.0,Lincoln,3LN6L2JK9FR616314
13.0,Lincoln,3LN6L2JK1FR617277
14.0,Lincoln,3LN6L2LU3GR629074
15.0,Lincoln,3LN6L2JK1GR633125
16.0,Lincoln,3LN6L2GK0GR614931
17.0,Lincoln,3LN6L5F90HR636137
18.0,Lincoln,2LMPJ8LR4JBL31975
19.0,Lincoln,3LN6L5F99HR622494
20.0,Lincoln,3LN6L5E95HR622509
1.0,Hyundai,5NPE34ABXFH160869
2.0,Hyundai,5NPE24AF8FH130324
3.0,Hyundai,5NPE24AF4FH058294
4.0,Hyundai,5NPE24AA2FH132171
5.0,Hyundai,5NPE24AF8FH153425
6.0,Hyundai,5NPE34AF1FH243576
7.0,Hyundai,5NPE24AF5FH203407
8.0,Hyundai,5NPEK4JC7NH146986
9.0,Hyundai,KMHL54JJ8NA040434
10.0,Hyundai,5NPEH4J23NH150054
11.0,Hyundai,5NPE24AF5GH357715
12.0,Hyundai,5NPE34AF4GH287220
13.0,Hyundai,5NPE24AF3GH416826
14.0,Hyundai,KMHE24L10GA038145
15.0,Hyundai,5NPE24AF4GH436129
16.0,Hyundai,5NPE34AF5GH427663
17.0,Hyundai,5NPE34AF8GH421484
18.0,Hyundai,5NPE24AF2GH423220
19.0,Hyundai,5NPE24AF7GH416912
20.0,Hyundai,5NPE34AB9HH542488
1.0,Mitsubishi,JA4AD3A35FZ002828
2.0,Mitsubishi,4A4AR4AU0FE037945
3.0,Mitsubishi,JA4JZ4AX0FZ012628
4.0,Mitsubishi,JA4AD3A33FZ001709
5.0,Mitsubishi,JA4AZ3A37HZ015536
6.0,Mitsubishi,JA4AZ3A32FZ010970
7.0,Mitsubishi,4A4AP4AU7FE023109
8.0,Mitsubishi,4A4AR4AU3FE025546
9.0,Mitsubishi,4A4AR4AU2FE005188
10.0,Mitsubishi,4A4AR3AW2FE050689
11.0,Mitsubishi,4A4AP4AU5FE009144
12.0,Mitsubishi,JA4AZ3A32FZ007471
13.0,Mitsubishi,4A4AR3AU2FE060539
14.0,Mitsubishi,4A4AR3AW7FE062014
15.0,Mitsubishi,JA4JZ4AX8FZ006026
16.0,Mitsubishi,JA4AZ3A31FZ008479
17.0,Mitsubishi,4A4AR3AU3FE051901
18.0,Mitsubishi,4A4AR4AU6FE041109
19.0,Mitsubishi,4A4AR3AU4FE030104
20.0,Mitsubishi,4A4AP3AW2FE046356
1.0,Toyota,4T3B6RFV8MU035319
2.0,Toyota,JTMRWRFV7LJ048851
3.0,Toyota,4T3E6RFV8MU033325
4.0,Toyota,2T3E6RFV6MW027068
5.0,Toyota,4T3B6RFV7MU053987
6.0,Toyota,4T3LWRFV4MU045138
7.0,Toyota,4T3RWRFV5MU046678
8.0,Toyota,2T3W1RFV8MC095618
9.0,Toyota,2T3P1RFV9MC243067
10.0,Toyota,2T3K1RFV5NC182554
11.0,Toyota,2T3F1RFV5NC259800
12.0,Toyota,2T3G1RFV7MC151231
13.0,Toyota,4T3LWRFVXMU039098
14.0,Toyota,2T3G1RFV8MC174260
15.0,Toyota,5TDGZRBHXMS072452
16.0,Toyota,4T3B6RFVXMU024516
17.0,Toyota,2T3H1RFV3MW109402
18.0,Toyota,4T3T6RFV4NU070316
19.0,Toyota,2T3W1RFV8MW135579
20.0,Toyota,2T3E6RFV0NW031067
1.0,Subaru,JF2SKACC5KH460954
2.0,Subaru,JF2SKAEC8KH567073
3.0,Subaru,JF2SKAGC1KH425595
4.0,Subaru,JF2SKACC4KH576114
5.0,Subaru,JF2SKAGC1KH455695
6.0,Subaru,JF2SKAPC9KH591329
7.0,Subaru,JF2SKASC7KH402152
8.0,Subaru,JF2SKAGCXKH512346
9.0,Subaru,JF2SKAGC3KH441667
10.0,Subaru,JF2SKAGCXKH512346
11.0,Subaru,JF2SKASC6KH427222
12.0,Subaru,JF2SKAWC7KH542535
13.0,Subaru,JF2SKAUC1KH537530
14.0,Subaru,JF2SKAPC9KH435517
15.0,Subaru,JF2SKAGC2KH478967
16.0,Subaru,JF2SKACC6KH449445
17.0,Subaru,JF2SKAKC7KH521660
18.0,Subaru,JF2SKASCXKH437980
19.0,Subaru,JF2SKAEC0KH456601
20.0,Subaru,JF2SKACC5KH426450
1.0,Volvo,YV4162UK3M2546390
2.0,Volvo,YV4ED3UR1M2450283
3.0,Volvo,YV4162UM8M2567253
4.0,Volvo,YV4162UM8M2443015
5.0,Volvo,YV4AC2HK2M2486718
6.0,Volvo,YV4A221L9M1684465
7.0,Volvo,YV4A22NL4M1140806
8.0,Volvo,YV4AC2HM2M2475493
9.0,Volvo,YV4162UK2M2557655
10.0,Volvo,YV4ED3UR0M2455104
11.0,Volvo,YV4162UL7M2441750
12.0,Volvo,YV4162UK1K2057404
13.0,Volvo,YV4162UM2M2483848
14.0,Volvo,YV4102DK5M1856306
15.0,Volvo,YV4102DL2M1855297
16.0,Volvo,7JR102TZ3MG122814
17.0,Volvo,YV4A22RK1M1765021
18.0,Volvo,7JR102TZ3MG122814
19.0,Volvo,YV4A22RK9M1710493
20.0,Volvo,YV4162UK8M2460668
1.0,Alfa Romeo,ZARFAMBN4M7640335
2.0,Alfa Romeo,ZASPAKBNXL7C75569
3.0,Alfa Romeo,ZARFANBN5L7634645
4.0,Alfa Romeo,ZARFANBN6M7644232
5.0,Alfa Romeo,ZASPAKBN6M7D16927
6.0,Alfa Romeo,ZASPAKEV0M7D19351
7.0,Alfa Romeo,ZARFANBN8M7643910
8.0,Alfa Romeo,ZARFANAN2M7639532
9.0,Alfa Romeo,ZASPAJAN0M7D12691
10.0,Alfa Romeo,ZASPAKBN9N7D30578
11.0,Alfa Romeo,ZASPAKBNXM7D03873
12.0,Alfa Romeo,ZARFAMBN7M7640488
13.0,Alfa Romeo,ZASPAKBNXN7D36809
14.0,Alfa Romeo,ZASPAKAN0M7D17153
15.0,Alfa Romeo,ZARFANBN0M7646638
16.0,Alfa Romeo,ZASPAJAN5M7D00228
17.0,Alfa Romeo,ZARFANAN4M7644389
18.0,Alfa Romeo,ZASPAKBN1M7D10999
19.0,Alfa Romeo,ZARFAMBN7M7644170
20.0,Alfa Romeo,ZASPAKBN9M7D20180
1.0,KIA,5XYRK4LF5MG044861
2.0,KIA,5XXG64J25MG008197
3.0,KIA,KNDCC3LC6M5466083
4.0,KIA,3KPA24AD2ME365624
5.0,KIA,KNDERCAA7M7074758
6.0,KIA,KNDJ23AU3M7740348
7.0,KIA,3KPA24AD7LE346291
8.0,KIA,5XYRL4LC9MG020596
9.0,KIA,KNDEUCA25M7151280
10.0,KIA,KNAE15LA2M6089719
11.0,KIA,5XXG14J25MG005203
12.0,KIA,KNDEPCAA7M7045332
13.0,KIA,KNDPN3ACXM7872211
14.0,KIA,KNDEU2AA6N7302761
15.0,KIA,KNDERCAA5M7072314
16.0,KIA,KNDPM3AC9M7870341
17.0,KIA,KNDJ23AU3M7739801
18.0,KIA,5XYPKDA59HG246321
19.0,KIA,5XXG14J20NG088914
20.0,KIA,KNDCC3LGXM5103014
1.0,Chevrolet / GMC / Cadillac,1GCPYCEF1MZ241914
2.0,Chevrolet / GMC / Cadillac,3GCPYCEL3MG179471
3.0,Chevrolet / GMC / Cadillac,3GCUYEED2MG444923
4.0,Chevrolet / GMC / Cadillac,3GCNYAEK5MG357741
5.0,Chevrolet / GMC / Cadillac,1GCPYFEL5MZ244631
6.0,Chevrolet / GMC / Cadillac,3GCUYEED0MG367162
7.0,Chevrolet / GMC / Cadillac,1GCPYFED1MZ244084
8.0,Chevrolet / GMC / Cadillac,1GCRTEEN8M1293498
9.0,Chevrolet / GMC / Cadillac,1GC4YREYXMF193936
10.0,Chevrolet / GMC / Cadillac,1GCGSCEN6M1290761
11.0,Chevrolet / GMC / Cadillac,1GCPWBEK3MZ352848
12.0,Chevrolet / GMC / Cadillac,1GCUYDED8MZ275890
13.0,Chevrolet / GMC / Cadillac,3GCUYHED7MG280845
14.0,Chevrolet / GMC / Cadillac,1GCPYFED1MZ244084
15.0,Chevrolet / GMC / Cadillac,3GCPYFED0MG118606
16.0,Chevrolet / GMC / Cadillac,1GCPYFED9MZ378082
17.0,Chevrolet / GMC / Cadillac,1GCPYFEL9MZ243305
18.0,Chevrolet / GMC / Cadillac,1GCUYDED2MZ408210
19.0,Chevrolet / GMC / Cadillac,1GCUYDED9NZ117480
20.0,Chevrolet / GMC / Cadillac,1GCUYEED6MZ414419
